id,lat,lon,time,acce
8,18.4042051,-66.0464923,9:24:32,0.0
9,18.4041236,-66.0477536,9:24:57,0.0
10,18.4040048,-66.0486282,9:25:29,0.0
11,18.4034437,-66.0499692,9:26:11,0.0
12,18.4041781,-66.0503215,9:26:41,0.0
13,18.4063608,-66.0497845,9:27:25,0.0
14,18.4060342,-66.0449642,9:29:46,0.0
15,18.4052209,-66.0449442,9:30:36,0.0
16,18.407417,-66.0417515,9:32:8,0.0
17,18.407056,-66.0426413,9:35:5,0.037264879792928696
18,18.407056,-66.0426413,9:35:5,0.037264879792928696
19,18.4041488,-66.0449767,9:38:14,0.0
20,18.4036222,-66.0455192,9:40:8,0.0
21,18.403989,-66.0486131,9:41:23,0.0
22,18.403451,-66.0498986,9:42:15,0.0
23,18.4068182,-66.0495352,9:44:1,0.0
24,18.4060559,-66.0447299,9:46:15,6.5661702156066895
25,18.4061844,-66.0432908,9:49:11,4.489999771118164
26,18.4068558,-66.0426278,9:49:40,0.2635858356952667
27,18.4070537,-66.0394418,9:50:34,0.0
28,18.406163,-66.0431124,9:53:31,5.126250267028809
29,18.4041882,-66.044959,9:56:6,0.0
30,18.4036284,-66.0455085,9:57:56,0.0
31,18.4033756,-66.0462005,9:58:35,0.0
32,18.403917,-66.0478909,9:59:4,5.01469612121582
33,18.4038783,-66.0497308,10:0:6,5.99781608581543
34,18.4039813,-66.0463734,8:42:35,0.0
35,18.4041047,-66.0484892,8:43:13,0.0
36,18.4042011,-66.0499032,8:43:56,0.0
37,18.4051224,-66.050338,8:44:52,4.572017669677734
38,18.4061803,-66.0502588,8:45:22,3.924367904663086
39,18.4071939,-66.0495427,8:45:59,1.095893144607544
40,18.4067207,-66.0490004,8:46:16,3.3004181385040283
41,18.406061,-66.0481042,8:46:47,2.625809669494629
42,18.406627,-66.046957,8:47:16,4.103639125823975
43,18.4060234,-66.0449512,8:48:3,4.4799089431762695
44,18.4061764,-66.0431609,8:48:48,3.4043047428131104
45,18.4073641,-66.0431936,8:50:24,0.0
46,18.4063222,-66.0430162,8:55:20,4.073455333709717
47,18.4049889,-66.0450658,8:58:26,0.0
48,18.4037657,-66.0455475,9:0:26,0.0
49,18.4041105,-66.0465002,9:0:54,0.0
50,18.4042036,-66.0481047,9:1:31,2.709695816040039
51,18.4036496,-66.0499647,9:2:19,0.0
52,18.4047482,-66.0503636,9:3:9,4.875940799713135
53,18.4065476,-66.0497879,9:3:40,6.3702216148376465
54,18.4071206,-66.0494932,9:4:1,0.0
55,18.4066019,-66.0489905,9:4:15,0.6508917808532715
56,18.4059816,-66.0480143,9:5:2,1.5148541927337646
57,18.4069452,-66.0471494,9:5:38,0.0
58,18.4059095,-66.0449555,9:6:17,6.41377067565918
59,18.4059669,-66.0432204,9:6:59,7.060421943664551
60,18.4070744,-66.0426403,9:8:3,0.0
61,18.4060442,-66.0432045,9:13:44,4.940939903259277
62,18.4050301,-66.0450428,9:16:28,0.0
63,18.4037123,-66.0455581,9:17:39,0.0
64,18.4034081,-66.0461997,9:18:9,0.0
65,18.4040227,-66.0485957,9:18:39,0.0
66,18.4036525,-66.0499861,9:19:36,4.598724365234375
67,18.4050474,-66.0503564,9:20:15,7.344485282897949
68,18.4064987,-66.050015,9:20:40,5.841970920562744
69,18.4070974,-66.0494104,9:21:1,2.7050628662109375
70,18.4064746,-66.0485635,9:21:29,3.863774299621582
71,18.4061462,-66.0479132,9:21:47,0.693824291229248
72,18.4069145,-66.0472432,9:22:30,0.0
73,18.4060379,-66.0447558,9:23:15,3.890000104904175
74,18.4041607,-66.044982,9:25:18,0.0
