lat,lon,time,stop,next_stop,elapsed,time_Seconds,round_trip
18.406109,-66.0445925,9:56:15,11.0,2.1,48.0,35775.0,954.0
18.4062058,-66.0431516,9:57:3,2.1,1.0,48.0,35823.0,702.0
18.4071179,-66.0418747,9:58:42,1.0,2.2,99.0,35922.0,981.0
18.4067199,-66.0435654,10:2:1,2.1,1.0,199.0,36121.0,
18.4051679,-66.0454653,10:4:15,3.0,4.0,134.0,36255.0,953.0
18.4035968,-66.0455883,10:5:51,4.0,5.0,96.0,36351.0,947.0
18.4038652,-66.0463797,10:6:27,5.0,6.0,36.0,36387.0,956.0
18.4041079,-66.0464256,8:39:32,5.0,6.0,,31172.0,
18.4041502,-66.0485306,8:40:2,6.0,13.0,30.0,31202.0,
18.4041728,-66.0500695,8:40:32,13.0,24.0,30.0,31232.0,
18.4037845,-66.0454662,8:48:1,4.0,5.0,449.0,31681.0,
18.4034009,-66.0461888,8:48:21,5.0,6.0,20.0,31701.0,
18.4041286,-66.048392,8:48:50,6.0,13.0,29.0,31730.0,
18.4039918,-66.0461849,9:8:27,5.0,6.0,,32907.0,1206.0
18.4039704,-66.0486076,9:8:54,6.0,13.0,27.0,32934.0,1204.0
18.4034131,-66.0498753,9:9:21,13.0,24.0,27.0,32961.0,1729.0
18.404676,-66.0502572,9:10:3,24.0,23.0,42.0,33003.0,
18.4063284,-66.0499231,9:10:33,23.0,20.0,30.0,33033.0,
18.4071838,-66.0494937,9:10:48,20.0,19.0,15.0,33048.0,
18.4066146,-66.0487669,9:11:14,19.0,9.0,26.0,33074.0,
18.4060684,-66.0482009,9:11:39,9.0,10.0,25.0,33099.0,
18.4065666,-66.0466617,9:12:36,10.0,11.0,57.0,33156.0,
18.4060853,-66.0449399,9:13:12,11.0,2.1,36.0,33192.0,
18.4061719,-66.0431114,9:15:10,2.1,1.0,118.0,33310.0,
18.4061371,-66.0435515,9:16:6,2.1,1.0,56.0,33366.0,
18.4069243,-66.0429556,9:17:4,2.1,1.0,58.0,33424.0,
18.4052908,-66.0456568,9:19:53,3.0,4.0,169.0,33593.0,
18.4038784,-66.0455471,9:21:17,4.0,5.0,84.0,33677.0,1996.0
18.4040339,-66.0463137,9:21:39,5.0,6.0,22.0,33699.0,792.0
18.4043354,-66.0481552,9:22:11,6.0,13.0,32.0,33731.0,797.0
18.4041316,-66.0501539,9:22:44,13.0,24.0,33.0,33764.0,803.0
18.4047316,-66.0498053,9:23:18,24.0,23.0,34.0,33798.0,795.0
18.4063204,-66.0501469,9:23:45,23.0,20.0,27.0,33825.0,792.0
18.4072043,-66.0494703,9:24:9,20.0,19.0,24.0,33849.0,801.0
18.4064088,-66.0484745,9:24:30,19.0,9.0,21.0,33870.0,796.0
18.4065586,-66.0485914,9:24:51,19.0,9.0,21.0,33891.0,
18.4068231,-66.0469673,9:25:6,10.0,11.0,15.0,33906.0,750.0
18.4059835,-66.04488,9:25:50,11.0,2.1,44.0,33950.0,758.0
18.4060402,-66.0430497,9:26:39,2.1,1.0,49.0,33999.0,
18.4062762,-66.0427673,9:27:56,2.1,1.0,77.0,34076.0,
18.4069317,-66.0428341,9:28:50,2.1,1.0,54.0,34130.0,
18.405189,-66.0450673,9:31:21,3.0,4.0,151.0,34281.0,688.0
18.4036133,-66.0455532,9:32:12,4.0,5.0,51.0,34332.0,655.0
18.40383902293667,-66.04990846648302,8:35:35,13.0,24.0,,30935.0,
